4.357819557189941406e+00,7.332091808319091797e+00,8.257312774658203125e-01,1.000000000000000000e+00,2.945887172245420516e-05,3.847926200251094997e-05,5.472939665196463466e-05
2.711713314056396484e+00,6.399609088897705078e+00,5.517982006072998047e+00,1.000000000000000000e+00,3.386144817341119051e-05,1.015152301988564432e-04,-1.366167416563257575e-04
4.194678306579589844e+00,1.329096674919128418e+00,1.383178114891052246e+00,1.000000000000000000e+00,-8.747906576900277287e-06,5.139144923305138946e-05,-3.366193050169385970e-05
2.185662269592285156e+00,1.809679508209228516e+00,1.889259219169616699e+00,1.000000000000000000e+00,1.681822031969204545e-04,-1.957614294951781631e-04,5.226087523624300957e-05
7.081045150756835938e+00,7.206253051757812500e+00,6.955207347869873047e+00,1.000000000000000000e+00,-2.753052285697776824e-05,-2.383113972825867677e-08,3.813449438894167542e-06
1.089124798774719238e+00,1.347555041313171387e+00,4.690436363220214844e+00,1.000000000000000000e+00,-2.110631321556866169e-04,3.891107917297631502e-04,3.117081723758019507e-05
4.645068645477294922e+00,5.540933132171630859e+00,7.078787088394165039e-01,1.000000000000000000e+00,-4.473728040466085076e-05,1.244255836354568601e-04,6.747655424987897277e-05
6.292625427246093750e+00,7.032814502716064453e+00,5.219521999359130859e+00,1.000000000000000000e+00,-1.111241290345788002e-04,-1.711788063403218985e-04,1.293624663958325982e-04
4.587597846984863281e-01,2.987056970596313477e+00,4.013090610504150391e+00,1.000000000000000000e+00,5.430020974017679691e-05,-2.045271685346961021e-04,-1.257442490896210074e-04
6.751892566680908203e+00,2.848579883575439453e-01,2.439846277236938477e+00,1.000000000000000000e+00,4.477924085222184658e-05,-4.366061330074444413e-05,-1.495626474934397265e-05
1.556587100028991699e+00,3.058229446411132812e+00,5.527153015136718750e+00,1.000000000000000000e+00,-1.018488183035515249e-04,-4.222384086460806429e-05,-1.497187913628295064e-04
4.427805900573730469e+00,5.179866790771484375e+00,4.417436122894287109e+00,9.999998807907104492e-01,4.269628843758255243e-04,-2.288428368046879768e-04,1.936405169544741511e-04
4.697129428386688232e-01,2.040099620819091797e+00,2.792338848114013672e+00,1.000000000000000000e+00,9.589984983904287219e-05,-1.296519330935552716e-04,-6.161537748994305730e-05
4.121519088745117188e+00,9.421818852424621582e-01,5.789016723632812500e+00,1.000000000000000000e+00,2.391700218140613288e-05,1.461254287278279662e-04,1.387891243211925030e-04
6.305254936218261719e+00,6.756709814071655273e-01,4.926681518554687500e-01,1.000000000000000000e+00,7.793368013153667562e-07,2.961403697554487735e-05,-1.455547044315608218e-05
1.346524596214294434e+00,1.526044964790344238e+00,2.730284214019775391e+00,1.000000000000000000e+00,1.745062472764402628e-04,-2.182681928388774395e-04,1.324758704868145287e-05
7.185241699218750000e+00,6.740047454833984375e+00,1.686415195465087891e+00,1.000000000000000000e+00,-3.600521949920221232e-06,-6.280559318838641047e-05,3.894079418387264013e-05
5.451243400573730469e+00,7.410121440887451172e+00,4.873751640319824219e+00,1.000000000000000000e+00,-3.808528708759695292e-05,-1.048272388288751245e-04,1.679240958765149117e-04
7.114557266235351562e+00,1.938096284866333008e+00,7.197245121002197266e+00,1.000000000000000000e+00,-1.597193477209657431e-05,7.089361315593123436e-05,-3.511615432216785848e-05
3.166708230972290039e+00,2.124244213104248047e+00,6.909707546234130859e+00,1.000000000000000000e+00,-5.553216760745272040e-05,1.361334434477612376e-04,4.180035102763213217e-05
5.814052581787109375e+00,5.391270160675048828e+00,5.169187068939208984e+00,1.000000000000000000e+00,1.593795605003833771e-05,-9.536512516206130385e-05,2.998555601152474992e-06
5.032204151153564453e+00,4.260613441467285156e+00,3.830860853195190430e+00,9.999979138374328613e-01,1.064099720679223537e-03,-1.765356631949543953e-03,-3.224335669074207544e-04
3.440165042877197266e+00,3.243434429168701172e+00,3.655614614486694336e+00,9.999021887779235840e-01,1.089772023260593414e-02,-2.029052702710032463e-03,8.537483401596546173e-03
4.873890876770019531e+00,3.473443031311035156e+00,2.872328519821166992e+00,9.999898672103881836e-01,-1.647165510803461075e-03,-2.448650076985359192e-03,-3.408069722354412079e-03
1.409243583679199219e+00,3.798067092895507812e+00,4.704924583435058594e+00,1.000000000000000000e+00,-1.119766238844022155e-04,-1.597089431015774608e-04,-2.978012489620596170e-04
3.864890098571777344e+00,5.104086995124816895e-01,2.609874248504638672e+00,1.000000000000000000e+00,1.370691752526909113e-04,4.266309588274452835e-06,1.021198913804255426e-04
5.549425125122070312e+00,6.210399627685546875e+00,4.107890605926513672e+00,1.000000000000000000e+00,1.592257031006738544e-04,-1.281894801650196314e-04,7.645650475751608610e-05
7.381373882293701172e+00,7.323889255523681641e+00,3.304869174957275391e+00,1.000000000000000000e+00,3.310860120109282434e-05,-7.038575131446123123e-05,6.560247584275202826e-06
4.565705299377441406e+00,2.205981016159057617e+00,5.073436260223388672e+00,9.999998807907104492e-01,6.604455847991630435e-05,4.657754907384514809e-04,3.404270973987877369e-04
5.887445926666259766e+00,9.176169633865356445e-01,2.512953281402587891e+00,1.000000000000000000e+00,4.117030039196833968e-05,-1.974790211534127593e-05,-5.536729076993651688e-05
3.964087486267089844e+00,3.868395566940307617e+00,3.144116878509521484e+00,9.999106526374816895e-01,1.058245636522769928e-02,-2.225416246801614761e-03,7.858319208025932312e-03
1.816917538642883301e+00,5.899639606475830078e+00,6.296926975250244141e+00,1.000000000000000000e+00,-1.022142896545119584e-04,4.360266757430508733e-05,-5.137169137015007436e-05
2.523286819458007812e+00,7.353962421417236328e+00,6.059557914733886719e+00,9.999998211860656738e-01,-1.552471367176622152e-04,-6.925357156433165073e-04,-1.756214769557118416e-04
1.688164472579956055e+00,3.958513259887695312e+00,1.130628466606140137e+00,1.000000000000000000e+00,-8.831908053252846003e-05,3.192607618984766304e-05,1.045026328938547522e-05
5.981305599212646484e+00,6.459321022033691406e+00,2.441311776638031006e-01,1.000000000000000000e+00,-1.599126153450924903e-05,1.793542833183892071e-05,4.338997314334847033e-06
3.113097190856933594e+00,6.403513431549072266e+00,6.993271350860595703e+00,1.000000000000000000e+00,-6.187598046381026506e-05,1.736190461087971926e-05,1.132364013756159693e-05
1.085514068603515625e+00,7.100507736206054688e+00,6.725565910339355469e+00,1.000000000000000000e+00,-2.216831944679142907e-06,9.212935401592403650e-05,4.500668364926241338e-05
7.484075546264648438e+00,1.908208847045898438e+00,6.131030082702636719e+00,1.000000000000000000e+00,-2.311918615305330604e-05,-7.140104571590200067e-05,-3.563258360372856259e-05
1.675856947898864746e+00,4.096437394618988037e-01,6.898119926452636719e+00,1.000000000000000000e+00,8.097381942206993699e-05,1.105027840822003782e-04,8.986686225398443639e-06
6.628206729888916016e+00,5.124324798583984375e+00,1.999816775321960449e+00,1.000000000000000000e+00,1.799611709429882467e-05,-1.043853917508386075e-04,7.855849162297090515e-07
